operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year_x,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,cost_of_revenue,inventory,current_assets,current_liabilities,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,company,year_y,label,label_name
167927000,-277003000,-109076000,247401000,12296347000,-246061000,0,0,2002,-0.44088746609755014,-0.8870601976343055,0,21.30728296786029,0.8216026092762536,0.0,-1.3715469766937347,-361.278654753635,-39.63347341100515,-0.451396871360231,COST,2002-08-31,10753443000,3127221000,4630539000,4449733000,1.365665754227658,-45.49831021976781,-0.8870601976343055,2.2527259518619633,-1.9616678878559242,106.14606549734815,0.014704041777610862,Costco Wholesale Corporation,2002,1,HOLD
300363000,-283149000,17214000,145729000,9198585000,58539000,0,0,2002,0.11812336597382814,0.18713747820996382,0,35.50301975793016,1.1890564409802906,0.0,1.0741976758442693,-115.78165682643295,78.86522119730597,2.445744652538004,COST,2002-11-24,8048897000,3676199000,5069640000,4891736000,3.2653174374102103,23.01756379001536,0.18713747820996382,3.078179959200247,-0.5780895993792603,166.70764143211176,0.01934036593671744,Costco Wholesale Corporation,2002,1,HOLD
606150000,-166074000,440076000,182065000,10114167000,318846000,0,0,2003,2.417136736879686,4.351084968243059,0,28.932611059319086,2.946448083850126,1.0,4.163947490033095,2456.500522830255,101.80581496389367,3.089749814188826,COST,2003-02-16,8840411000,3218429000,5060650000,4752661000,5.993078817069167,61.86344918724562,4.351084968243059,1.641993848826107,-0.6559215397998672,132.8814446522905,0.030451247245571484,Costco Wholesale Corporation,2003,1,HOLD
169646000,-159163000,10483000,153780000,9543071000,-85948000,0,0,2003,0.06816881258941344,0.10984933466386239,0,30.12843559478914,-0.37463744439556684,1.0,-4.241235633579197,-97.61791145165834,-72.01253815062279,-8.405183123612293,COST,2003-05-11,8358323000,3251173000,5199846000,4716419000,1.7776877066093295,-44.93514890461602,0.10984933466386239,1.667838371945467,-1.076027729728401,141.97562657006677,0.050657382723024905,Costco Wholesale Corporation,2003,1,HOLD
431049000,-202279000,228770000,239426000,13689729000,4515000,0,0,2003,0.9554935554200463,1.6711068568267495,0,20.37529523046075,2.5581670544610553,1.0,1.561257522162887,2082.2951445196986,154.08733480306046,5.802493155742084,COST,2003-08-31,11987752000,3339428000,5711538000,5011107000,3.1487036741194805,130.56180945975365,1.6711068568267495,1.477596817292731,-0.7751291345692324,101.6780477273804,0.05116470895808091,Costco Wholesale Corporation,2003,1,HOLD
703281000,-222078000,481203000,160175000,10521478000,434237000,0,0,2003,3.0042328702981114,4.573530448858991,0,19.279283766026055,4.386392970649027,1.0,2.902423592032241,110.34357651790008,63.15569691612786,1.3411660698693542,COST,2003-11-23,9220122000,4079754000,6617830000,5949786000,6.684241510555837,104.70418691841626,4.573530448858991,2.110711061696845,-0.9674688975034016,161.5065624945093,0.06349336091374234,Costco Wholesale Corporation,2003,1,HOLD
569403000,-108840000,460563000,226792000,11548974000,232066000,0,0,2004,2.030772690394723,3.9879126925041133,0,21.594939082900353,-0.36317227573894595,1.0,-0.5856177563548775,-4.289250067019534,-19.036203167723855,-3.4880413483871187,COST,2004-02-15,10101977000,3642364000,6499595000,5587470000,4.9303340712343795,-17.732867834274668,3.9879126925041133,0.9424213787302664,-0.6995724700958406,131.60422558871397,0.07897887725784127,Costco Wholesale Corporation,2004,1,HOLD
345965000,-114234000,231731000,198658000,10897239000,62567000,0,0,2004,1.1664820948564871,2.1265111281857725,0,10.38902468781312,2.01666179352191,1.0,-1.8614015643183408,-49.68527649854635,-39.240748643754955,-1.2757838079634634,COST,2004-05-09,9540312000,3612243000,6925409000,5844395000,3.1747950100020748,78.59126764495188,2.1265111281857725,1.0482838818163023,-0.6195544901291647,138.19974598315025,0.09920072414673112,Costco Wholesale Corporation,2004,1,HOLD
480134000,-260468000,219666000,296768000,15139301000,-33291000,0,0,2004,0.7401943605779598,1.4509652724389321,0,9.126867878510367,-0.2201415843878174,0.0,-0.6755458557468403,-5.206467844181395,38.78109057274579,1.1858557085715005,COST,2004-08-31,13229605000,3643585000,7269099000,6170550000,3.171441006424273,0.7221172475415871,1.4509652724389321,1.7204757339853407,0.24287891669260975,100.52518763787731,0.07256272928320799,Costco Wholesale Corporation,2004,1,HOLD
44534000,-211128000,-166594000,193153000,11578003000,-292122000,0,0,2004,-0.8624976055251536,-1.438883717684302,0,12.609425822397895,-6.012414166543293,0.0,-2.889848990123234,-175.83968388371437,-90.72467269553917,-2.2143031343763937,COST,2004-11-21,10132487000,4494949000,8387021000,7036385000,0.3846431893306643,-94.24552226721265,-1.438883717684302,1.8235269070149662,-0.28718415468187897,161.92040364818627,0.11665535066798653,Costco Wholesale Corporation,2004,1,HOLD
719740000,-198370000,521370000,305452000,12658077000,286889000,0,0,2005,1.7068802954310334,4.118872084598632,0,10.18643116170017,0.13095939209451846,1.0,5.557755802282934,-412.95844988414945,1516.158440741905,8.447604792406167,COST,2005-02-13,11056064000,4002654000,8363116000,6774381000,5.686013760225981,15.327149805132901,4.118872084598632,1.5671416756273486,0.6247202968970822,132.14184632071596,0.12551156072126912,Costco Wholesale Corporation,2005,1,HOLD
493627000,-218559000,275068000,209788000,11996900000,150452000,0,0,2005,1.3111712776707916,2.2928256466253782,0,6.202739457693255,0.16631451843960576,1.0,-1.8260464379732535,-47.241306557722915,-31.41592797399061,-7.383802240256188,COST,2005-05-08,10503661000,4040253000,8569366000,6871345000,4.114621277163267,29.60273857683109,2.2928256466253782,1.8217956305378888,0.7735117487215866,140.39793791897893,0.14153831406446665,Costco Wholesale Corporation,2005,1,HOLD
525276000,-367374000,157902000,354699000,16702248000,54377000,0,0,2005,0.4451718217418149,0.9453936979022226,0,6.974997916448132,-0.5055715745367095,1.0,-1.3474319487231556,-42.595285529396364,6.411521249850605,0.47861448925009786,COST,2005-08-31,14654749000,4014699000,8238001000,6760537000,3.1449419263802096,-0.8355533018077566,0.9453936979022226,2.199548228477987,0.4790724944926461,99.99250993654003,0.08845899066999843,Costco Wholesale Corporation,2005,1,HOLD
137570000,-272568000,-134998000,215818000,12927353000,-202987000,0,-183781000,2005,-0.6255177974033677,-1.0442818417660598,-183781000,10.483291900515098,0.39460187591824214,0.0,-1.9896755396682824,-185.494800572507,-73.80995895491132,-0.6422435909451267,COST,2005-11-20,11330171000,4825284000,8842185000,7454831000,1.0641776394595241,176.66618543574103,-1.0442818417660598,2.108459481225584,0.2849325742106179,155.4459028023496,0.10731926327067885,Costco Wholesale Corporation,2005,1,HOLD
806208000,-231056000,575152000,296203000,14054576000,379915000,0,-427693000,2006,1.9417494083449527,4.092275711483576,-427693000,7.702758162181496,-0.026596373115055805,1.0,5.136557553249636,-526.0448302937822,486.0347459475176,7.126233092917919,COST,2006-02-12,12303850000,4277534000,8452130000,7250021000,5.736266963869988,0.8838037641683449,4.092275711483576,1.6439912523864113,0.07684957675906268,126.89523279298756,0.08553150233774395,Costco Wholesale Corporation,2006,1,HOLD
282663000,-252427000,30236000,235595000,13273175000,-47683000,0,-299941000,2006,0.12833888664869797,0.22779779517711476,-299941000,9.09617065999656,-2.0650278514482636,0.0,-3.8644779163064613,-94.74295490583359,-64.93919683257919,-9.001035469556097,COST,2006-05-07,11635052000,4415889000,8347133000,7492306000,2.129580902835983,-48.24357433196926,0.22779779517711476,1.9017831076588683,0.07998747712097942,138.5296331292718,0.06440260148758681,Costco Wholesale Corporation,2006,1,HOLD
600849000,-456516000,144333000,355599000,19896123000,65128000,0,-531396000,2006,0.4058869681860748,0.7254327890916236,-531396000,10.139456063877361,-0.21996090881059904,1.0,0.4976349939145088,377.3548088371478,112.56726207533352,4.36211291022097,COST,2006-08-31,17476424000,4568723000,8232082000,7819191000,3.019930063761669,-3.9750133880032568,0.7254327890916236,2.2944972746700447,0.0949490461920579,95.4190568390879,0.02075233451260831,Costco Wholesale Corporation,2006,1,HOLD
407490000,-388800000,18690000,236886000,14151624000,25055000,0,-411649000,2006,0.0788987107722702,0.13206964797821086,-411649000,11.812649558806811,1.1763514897442706,0.0,-0.5933631411134127,-87.05077840826422,-32.180963936030516,-1.0909981350279216,COST,2006-11-26,12388958000,5388792000,8864259000,8946859000,2.8794575096116177,170.58053118594376,0.13206964797821086,2.7473878616334066,0.6389283804078225,158.76307595844622,-0.005836785940610067,Costco Wholesale Corporation,2006,1,HOLD
318425000,-272941000,45484000,249478000,15112016000,-57163000,0,-507107000,2007,0.18231667722203962,0.30097903549069827,-507107000,18.388763616978693,-3.7912966759928777,1.0,0.1689093875124874,143.36008560727663,-21.856978085351784,0.7622725286259001,COST,2007-02-18,13251752000,4930855000,8275765000,8664500000,2.107098086714572,-63.26708467394947,0.30097903549069827,1.8061190512238738,0.16212779883746253,135.81314191512186,-0.025723569906225617,Costco Wholesale Corporation,2007,1,HOLD
827699000,-226696000,601003000,223986000,14659255000,454911000,0,-587405000,2007,2.6832168081933694,4.099819533803048,-587405000,9.647544844536782,3.8720217386259335,1.0,3.79884049831235,1221.3503649635036,159.93530658710844,3.6299311107998626,COST,2007-05-13,12877587000,4954795000,9690443000,8586754000,5.646255556643227,165.13458817761065,4.099819533803048,1.5464360228401786,-0.3553470848186897,140.43781455330102,0.07528956962683302,Costco Wholesale Corporation,2007,1,HOLD
522790000,-497262000,25528000,372422000,20477260000,23908000,0,-471446000,2007,0.0685458968589396,0.12466511632904012,-471446000,9.20628931800448,-0.6007676727625835,1.0,-3.975154417474008,-95.75243384808395,-36.838150100459224,-7.773994915786358,COST,2007-08-31,17931405000,4879465000,9324153000,8581753000,2.5530271139791165,-15.460720610230661,0.12466511632904012,2.428361997650076,0.13386472298003138,99.32321114826195,0.0362548505024598,Costco Wholesale Corporation,2007,1,HOLD
270883000,-437067000,-166184000,262000000,15809530000,-147809000,0,-284000000,2007,-0.6342900763358779,-1.0511634438215431,-284000000,8.499835225968127,-1.183233091799754,0.0,-1.1758285601505833,-750.987151363209,-48.18512213317011,2.7993258573234248,COST,2007-11-25,13823511000,5773342000,10301909000,9693755000,1.7134158953491976,-40.49518391468455,-1.0511634438215431,2.7645793391707407,0.017191477537334077,152.44099925120327,0.03846755722655892,Costco Wholesale Corporation,2007,1,HOLD
582505000,-341693000,240812000,327850000,16959886000,93953000,0,-122847000,2008,0.7345188348330028,1.4198916195545184,-122847000,15.338087472993635,1.11891258406382,0.0,2.4710550633760615,-244.9068502382901,115.03933432515146,3.646883623526645,COST,2008-02-17,14833189000,5235648000,9669405000,9169089000,3.4346044542988086,63.00164078522372,1.4198916195545184,2.01471283474429,0.20859378352041613,128.83349089666422,0.029499962440785274,Costco Wholesale Corporation,2008,1,HOLD
909823000,-370370000,539453000,295000000,16613717000,468607000,0,-254237000,2008,1.8286542372881356,3.2470337613190354,-254237000,5.8833140711377325,-0.8527857724840127,1.0,1.827142141764517,124.01416872913309,56.19144900043776,-0.6439129216115445,COST,2008-05-11,14548022000,5305725000,10078466000,9525513000,5.476336210614398,-3.009416494244699,3.2470337613190354,2.2293024492953624,0.6828664264551838,133.11703989724515,0.03328291916854007,Costco Wholesale Corporation,2008,1,HOLD
412962000,-449441000,-36479000,397828000,23099887000,-283303000,0,-234055000,2008,-0.09169540605487798,-0.15791852141960694,-234055000,8.890053011947643,-0.28258363774864703,1.0,-3.4049522827386425,-106.76222024903004,-54.61073197753849,-5.23209442450316,COST,2008-08-31,20298028000,5039413000,9462045000,8874165000,1.7877230308529213,-29.976339809936515,-0.15791852141960694,1.9456415522725283,-0.48272044537754777,90.61893820424329,0.02544947514245416,Costco Wholesale Corporation,2008,1,HOLD
-39000000,-375000000,-414000000,263000000,16395000000,-531000000,0,-67000000,2008,-1.5741444866920151,-2.52516010978957,-67000000,19.16834400731932,-1.4739966659680268,0.0,-2.367241588369963,1034.89953123715,-109.44396821015008,1.0377106943686796,COST,2008-11-23,14276000000,5933000000,10100000000,9538000000,-0.23787740164684354,-113.88322603359317,-2.52516010978957,2.2872827081427265,-0.47729663102801423,151.69130008405716,0.03427874351936566,Costco Wholesale Corporation,2008,1,HOLD
861000000,-296000000,565000000,239000000,16843000000,424000000,0,0,2009,2.3640167364016738,3.3545092916938786,0,18.96188327495102,1.9346176721393602,1.0,5.879669401483449,-236.47342995169086,-2307.6923076923076,8.246910989853411,COST,2009-02-15,14771000000,4995000000,9691000000,8998000000,5.111915929466247,48.8356518919693,3.3545092916938786,1.7574066377723685,-0.2573061969719215,123.4293548168709,0.04114468918838687,Costco Wholesale Corporation,2009,1,HOLD
