total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year_x,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,symbol,date,net_income,revenue,free_cash_flow,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,company,year_y,label,label_name
35513000000,14069000000,153471000000,8405000000,230000000,996000000,1120000000,36248000000,35391000000,0,2003,2.524202146563366,0.23139876589062428,4.3304347826086955,27108000000,24.20357142857143,1.0242151959537735,1.0242151959537735,-0.37383706912290826,-6.1111065017348025,0.12614677612598668,1,-12.899655294498192,-20.158902943928027,36.77713590757068,14.046454962771815,-0.21167549574238365,-526000000.0,-40000000.0,-0.5333872884082154,-6.0692523506217775,-9.582452476074554,-0.486900684192074,2.573577414241725,0,0,0,AXP,2003-03-31,692000000,6023000000,-1448000000,0.4508995184758033,1.5065951353313702,7.094472524973838,0.08295576326098703,14.0329800488729,0.039245199418782704,0.02653422967844321,10.908451204776458,-0.04077380114324332,4.869565217391305,American Express Company,2003,1,HOLD
34864000000,14492000000,159043000000,6689000000,231000000,1097000000,1158000000,36002000000,35779000000,0,2003,2.405741098537124,0.21921115673119848,4.748917748917749,28175000000,24.330742659758204,1.006232706336119,1.006232706336119,-0.2059970504470745,4.231833002437334,-0.11272537011270956,1,-7.887354654110112,21.055037684076172,36.88347725808703,-10.074137046354714,-0.11846104802624202,1067000000.0,1000000.0,-0.8906622685235002,463.2872643988886,-7.0736233498056915,0.09321444771614162,2.5552736291354132,0,1,0,AXP,2003-06-30,762000000,6356000000,921000000,0.47911571084549465,1.6669705810843667,2.3448680310763192,0.3621566465180093,11.015730686159708,0.03996403488364782,-1.9237544588803113,10.97453767595915,0.026416934373565855,5.012987012987013,American Express Company,2003,1,HOLD
34188000000,14835000000,163963000000,6028000000,239000000,1064000000,1651000000,35835000000,35084000000,0,2003,2.3045500505561174,0.20851045662740983,4.451882845188284,28160000000,17.05632949727438,1.0214057690115153,1.0214057690115153,-0.15610240329994207,-9.266701410003787,-0.05109933486743268,1,-6.3439435770507036,-35.2037781767813,22.554439116757763,-4.764484074026387,-0.10119104798100675,-15000000.0,8000000.0,-0.8411810583742065,-1.037282140929289,-10.564888680478813,0.017270000045235268,2.4114977652188694,0,0,0,AXP,2003-09-30,770000000,6419000000,1293000000,0.4696181455572294,1.6278073557309833,-0.6535459268284916,0.2648873528093712,9.477824426520476,0.03914907631599812,-3.6794869098873417,11.052443545669027,0.03782028782028782,6.907949790794979,American Express Company,2003,1,HOLD
39700000000,15323000000,175001000000,5726000000,205000000,1090000000,994000000,36995000000,40296000000,0,2003,2.590876460223194,0.2268558465380198,5.317073170731708,33974000000,34.17907444668008,0.9180811991264641,0.9180811991264641,-0.14500118208255586,15.041955333106674,-0.0807772483621203,0,-5.299987829877928,78.60093906421812,51.27605438330465,-8.08695652173913,0.28632640966707656,5814000000.0,-34000000.0,-0.7203306511833025,-62.37417999118974,-9.793806829069496,0.3875174576480833,2.4337225364388115,1,1,0,AXP,2003-12-31,763000000,7068000000,751000000,0.4359975085856652,1.4857423259364266,0.3834790887578432,0.23943893810254144,8.094407957802563,0.040388340638053494,2.5046438081960387,11.420805325327938,0.018916876574307306,4.848780487804878,American Express Company,2003,1,HOLD
39593000000,15733000000,178096000000,4817000000,203000000,1248000000,1436000000,35932000000,37335000000,0,2004,2.51655755418547,0.22231268529332496,6.147783251231527,34776000000,24.21727019498607,0.9624213204767644,0.9624213204767644,-0.007644592377896053,0.013698766414641739,-0.0617938754770091,1,-0.30285182937127564,0.05659812005458509,41.966882307555345,-6.033290242239097,-0.07431890603772384,802000000.0,-2000000.0,-0.3814816615008043,-6.097407735320161,-6.2849734140693165,-0.3606453157048004,2.4706613549882603,0,0,0,AXP,2004-03-31,794000000,6910000000,1823000000,0.44582696972419367,1.6917904782561544,-1.1249842911246866,0.024797286450245037,12.29230989678265,0.03879929925433474,-1.1361903393324435,11.319900845356893,0.04604349253655949,7.073891625615763,American Express Company,2004,1,HOLD
40330000000,15158000000,179185000000,6071000000,210000000,1266000000,1445000000,37674000000,39026000000,0,2004,2.660641245546906,0.22507464352484863,6.0285714285714285,34259000000,23.708650519031142,0.9653564290473018,0.9653564290473018,0.2549001470097818,-0.6220921407270623,-0.04087627728881715,0,10.595493719784766,-2.5568152580725423,26.946216955332723,-4.062308552626492,0.14408369136143584,-517000000.0,7000000.0,0.048903096562707304,3.6097408617102715,-6.893073621599022,0.21840259739915968,2.58935841998519,1,0,1,AXP,2004-06-30,876000000,7258000000,1423000000,0.4888802076066635,1.711180795847751,2.0380247485388248,0.02074172634933813,2.6521292736087387,0.04050562268046991,1.3551879793891608,11.821150547565642,0.03528390776097198,6.880952380952381,American Express Company,2004,1,HOLD
41136000000,15840000000,179273000000,7621000000,201000000,1014000000,1089000000,39538000000,30334000000,0,2004,2.596969696969697,0.22946009717023758,5.044776119402985,33515000000,30.775941230486684,1.3034219028153227,1.3034219028153227,0.29241964641357976,13.719611733212304,0.2820161338038074,0,12.68879564334111,80.43707021141162,13.317809448995632,27.61058752162071,-0.0636715485772088,-744000000.0,-9000000.0,0.1363172431136377,4.452910323208517,-6.190152863790721,-0.20775523993864464,2.591389498900691,0,0,1,AXP,2004-09-30,879000000,5476000000,3259000000,0.49031365570944874,1.3347725358045492,4.40688042998485,0.01760614949957212,-18.001812001570904,0.030545592476279193,-21.976211572080306,11.317739898989899,0.07922500972384286,5.417910447761194,American Express Company,2004,1,HOLD
47207000000,16020000000,194216000000,7808000000,238000000,1183000000,1381000000,41304000000,34423000000,0,2004,2.946754057428215,0.24306442311653004,4.970588235294118,39399000000,28.529326574945692,1.1998954187607123,1.1998954187607123,0.355877597205021,-5.649747871734391,0.28181421963424813,0,13.735799551568096,-16.529844541425753,-6.516459794927143,30.696001606654043,0.3497843604585178,5884000000.0,37000000.0,0.21087641512246513,9.392207461372283,-3.8123794746057094,0.4134559090357266,2.7347883333149396,1,1,1,AXP,2004-12-31,896000000,7745000000,1898000000,0.4613420109568727,1.403277080993879,5.812992476361312,0.027010074523227567,-5.5504405779496,0.03987827985335915,-1.2628911627376227,12.12334581772784,0.040205901667125635,5.802521008403361,American Express Company,2004,1,HOLD
44633000000,16133000000,189572000000,9279000000,201000000,1088000000,1289000000,43931000000,33611000000,0,2005,2.7665654249054734,0.2354408878948368,5.412935323383085,35354000000,27.42746314972847,1.3070423373300408,1.3070423373300408,0.2500078707200033,3.2101929547424,0.3446210168532764,1,9.934518298784667,13.25580021569499,-11.953055236637322,35.80770807140452,-0.18018863252274153,-4045000000.0,-37000000.0,0.24236327834210725,3.2238917211570417,-1.53567779858661,-0.5299729929812593,2.7700963931011287,0,0,1,AXP,2005-03-31,946000000,5640000000,1697000000,0.4990188424450868,1.342856202481651,11.931057637405784,0.048119323969283534,-20.625147159722403,0.02975122908446395,-23.320189652291013,11.750573358953698,0.038021195079873636,6.412935323383085,American Express Company,2005,1,HOLD
43270000000,17164000000,195739000000,9280000000,232000000,1121000000,1221000000,45330000000,36879000000,0,2005,2.520974131903985,0.22105967640582613,4.831896551724138,33990000000,27.83783783783784,1.229154803546734,1.229154803546734,-0.13966711364292106,4.1291873188066965,0.2637983744994321,1,-5.249377903792207,17.41637431237244,-19.850057198888706,27.326525888450483,-0.24559129300148852,-1364000000.0,31000000.0,0.11523303336686075,3.5070951780796342,-1.1720958076412824,-0.06540266047874699,2.7447645380792243,0,1,0,AXP,2005-06-30,1013000000,6020000000,3667000000,0.517525889066563,1.391187080120462,5.859447982182764,0.0384101782210684,-18.70016987706773,0.030755240396650643,-24.071676075036574,11.404043346539268,0.08474693783221632,5.262931034482759,American Express Company,2005,1,HOLD
