symbol,date,label,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,label_name,company,operating_cash_flow,free_cash_flow,net_income,revenue,capital_expenditures,gross_profit,eps,gross_margin,net_margin,cost_of_revenue,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,year_x,year_y
CVX,2020-06-30,2,34053000000.0,134118000000.0,223403000000.0,6855000000.0,172000000.0,-7894000000,-2913000000.0,23732000000.0,20825000000.0,5511000000.0,2020.0,0.2539032792018968,0.152428570789112,-45.895348837209305,27198000000.0,-9.336766220391349,1.1395918367346938,0.8749579831932773,0.0579315409749714,-11.444153882234456,-0.0081066613054741,0,29.56117116636971,-543.0492969777318,-345.403161484403,-0.7063406739067135,0.0291342942786702,3339000000.0,10000000.0,0.000831622544122,-12.52744900109582,,-0.0085988478287213,0.2219027023136527,1,0,1,BUY,,80000000.0,-2012000000.0,-8270000000,15926000000,-2092000000.0,,,,,,-3.701830324570395,-3.5205237526089515,-320.02716371438413,-5.023511872593301,-337.10247359185837,0.0712882100956567,-49.780897440034,1.6657197393340193,-0.0590843684844213,-16.936046511627907,,
CVX,2020-09-30,0,34810000000.0,131774000000.0,223063000000.0,6866000000.0,164000000.0,-112000000,4140000000.0,24803000000.0,19664000000.0,5681000000.0,2020.0,0.2641644026894532,0.1560545675436984,-0.6829268292682927,27944000000.0,6.7497584541062805,1.2613405207485762,0.9724369406021156,0.0533662173595335,4.2959827900301875,0.1371384898551815,0,25.31626032549108,175.0764282539957,-104.44015133220638,12.198740625490467,0.0102611234875563,746000000.0,-8000000.0,0.029034987094467,4.501098765569134,-2.6219494743649374,-0.0188731707911138,0.2476122222715255,1,0,1,SELL,,3537000000.0,1907000000.0,-207000000,23997000000,-1630000000.0,,,,,,-0.0927988953793323,-0.0504250108053594,-109.22726752865417,-1.6699249173741415,-104.18692899400874,0.1075794730636636,-20.64718571168499,1.692769438584243,0.054783108302212,25.24390243902439,,
CVX,2020-12-31,2,44315000000.0,131688000000.0,239790000000.0,5596000000.0,199000000.0,-700000000,564000000.0,26078000000.0,22183000000.0,5676000000.0,2020.0,0.3365150962881963,0.1848075399307727,-3.5175879396984926,38719000000.0,68.65070921985816,1.175584907361493,0.9197132939638462,0.1494792534723614,75.32793632148928,0.1077748809762686,0,79.92011115192845,-1128.132010113721,-93.67864055258626,10.093076325674776,0.0723506935987431,10775000000.0,35000000.0,0.1135574245359285,65.87289457708002,8.743723755596067,0.0620895701111868,0.2848609260598487,1,1,1,BUY,,2238000000.0,171000000.0,-665000000,24843000000,-2067000000.0,,,,,,-0.2773259935777138,-0.2982903700505105,-90.0385845683556,-1.7466224251175602,-93.12628163722474,0.1036031527586638,-28.853215268166732,1.8208948423546565,0.0038587385761028,2.8341708542713566,,
CVX,2020-12-31,0,44315000000.0,131688000000.0,239790000000.0,5596000000.0,199000000.0,-700000000,564000000.0,26078000000.0,22183000000.0,5676000000.0,2020.0,0.3365150962881963,0.1848075399307727,-3.5175879396984926,38719000000.0,68.65070921985816,1.175584907361493,0.9197132939638462,0.1117461113649698,65.89084802841802,0.1640035367222154,0,49.71598345881149,2387.4696391536686,-121.84167291035476,16.212589662319708,0.0,0.0,0.0,0.1231125357412583,65.73418207324252,8.37961517267738,-0.0723506935987431,0.3123981984219486,0,0,1,SELL,,2238000000.0,171000000.0,-665000000,24843000000,-2067000000.0,,,,,,-0.2773259935777138,-0.2982903700505105,-118.2374782389532,-1.308831898744589,-126.8725819460197,0.1036031527586638,-17.45334662359105,1.8208948423546565,0.0038587385761028,2.8341708542713566,,
CVX,2021-03-31,0,45440000000.0,131888000000.0,241645000000.0,7076000000.0,198000000.0,1759000000,6665000000.0,30433000000.0,27480000000.0,5620000000.0,2021.0,0.3445347567633143,0.1880444453640671,8.883838383838384,38364000000.0,5.756039009752438,1.1074599708879185,0.9029475982532752,0.0906314775614175,15.092805230143789,-0.0321318658467753,0,35.695276503045825,-161.64917139278202,-119.35672918698002,-2.819594245150414,0.0080196604751179,-355000000.0,-1000000.0,0.1485630185363889,3.648651347909331,10.83149140883024,0.0080196604751179,0.339188316446569,1,1,1,SELL,,4196000000.0,2450000000.0,1377000000,31076000000,-1746000000.0,,,,,,0.5698441929276419,0.7439603446720202,-115.39357947190013,-1.1125982210352623,-121.13209274957156,0.1286018746508307,80.39711542521377,1.832198532087832,0.0539172535211267,33.66161616161616,,
CVX,2021-06-30,1,43018000000.0,133182000000.0,242806000000.0,7527000000.0,185000000.0,3292000000,9144000000.0,32973000000.0,28147000000.0,6239000000.0,2021.0,0.3230016068237449,0.1771702511470062,17.794594594594596,35491000000.0,3.8813429571303586,1.17145699364053,0.949799268128042,0.0588372041342917,-2.868415496975922,-0.089883527108046,1,22.27294954780856,-42.49656512124361,-2705.6370656370655,-7.126031839102598,-0.0215331499395693,-2873000000.0,-13000000.0,0.1122034214938253,1.4275672930542656,11.164445526121035,-0.0295528104146873,0.3346838199584185,0,0,1,HOLD,,6954000000.0,5157000000.0,3082000000,36117000000,-1797000000.0,,,,,,1.269326128678863,1.4012485811577753,-1467.8246098622865,0.2636232476129738,-2878.8761148046055,0.1487483834831099,38.268369649926925,1.823114234656335,0.1198800502115393,49.42702702702703,,
CVX,2021-09-30,2,37347000000.0,135862000000.0,239948000000.0,5998000000.0,174000000.0,6171000000,12569000000.0,32137000000.0,25188000000.0,6129000000.0,2021.0,0.2748892258320943,0.1556462233483921,35.46551724137931,31349000000.0,2.494152279417615,1.275885342226457,1.0325551850087342,-0.061625870456102,-66.15655694044054,0.1003004348649641,1,-18.312958656489144,-96.36689510165156,-1108.2339901477833,8.531960068293198,-0.0481123809916506,-4142000000.0,-11000000.0,0.0878533830162594,9.171379381048732,7.228879021779022,-0.0265792310520812,0.3141418631397178,0,0,0,BUY,,8579000000.0,6672000000.0,6111000000,42552000000,-1907000000.0,,,,,,2.5468018070581957,2.6720609206219077,-1018.3422636308042,5.3308036939460095,-995.791882308986,0.1773384233250537,71.1708752127949,1.7661156173175725,0.1786488874608402,72.23563218390805,,
CVX,2021-12-31,2,31369000000.0,139067000000.0,239535000000.0,5640000000.0,155000000.0,4958000000,10986000000.0,33738000000.0,26791000000.0,6795000000.0,2021.0,0.2255675321967109,0.1309578975932536,31.98709677419355,25729000000.0,2.341980702712543,1.2593034974431712,1.0056735470867082,-0.1109475640914854,-66.30872851714561,0.0837185900816781,1,-32.96956520383512,-96.58855570564872,-1009.347465437788,7.121441382705207,-0.0493216936353834,-5620000000.0,-19000000.0,0.0007985472734843,-0.4178804887275955,1.865155865517232,-0.0012093126437328,0.2744861216175167,0,1,0,BUY,,9458000000.0,6852000000.0,5055000000,45861000000,-2606000000.0,,,,,,2.110338781388941,2.181757375202422,-860.9596035928636,0.589700950082984,-831.4206539195276,0.1914584507483248,84.79983055565279,1.7224431389186508,0.2184322101437725,70.87741935483871,,
CVX,2022-03-31,2,29333000000.0,146219000000.0,249048000000.0,11671000000.0,136000000.0,7195000000,12979000000.0,44709000000.0,31203000000.0,6525000000.0,2022.0,0.200610043838352,0.1177805081751309,52.90441176470589,17662000000.0,1.3608136220047768,1.4328429958657822,1.2237284876454186,-0.1439247129249622,-4.3952253877476615,0.3253830249778637,1,-41.77364114931211,-76.35850591528038,495.5129920074909,29.381019046402574,-0.0249574883583588,-8067000000.0,-19000000.0,-0.0532932353635447,10.697579842396124,0.782797535491353,0.0243642052770245,0.2336889339557191,0,0,0,BUY,,8055000000.0,6095000000.0,6259000000,52314000000,-1960000000.0,,,,,,2.5131701519385823,3.0738755468465184,341.02759721510427,6.215000476508978,313.177337859541,0.2100558928399344,63.33812660994327,1.7032533391693283,0.207786452118774,95.43382352941175,,
CVX,2022-06-30,1,26235000000.0,153554000000.0,257936000000.0,12029000000.0,129000000.0,12729000000,19931000000.0,51188000000.0,39121000000.0,7715000000.0,2022.0,0.1708519478489651,0.1017112772160536,98.67441860465117,14206000000.0,0.7127590186142191,1.3084532603972292,1.1112446000869098,-0.1521496589747797,-3.1685839385161394,0.136996266756699,1,-47.10492324510466,-81.63627830658922,454.5190595947894,11.694519517183169,-0.0297580959893868,-3456000000.0,-7000000.0,-0.093312454840488,-6.036999435492062,-6.763844928530071,-0.004800607631028,0.199009841294676,0,1,0,HOLD,,13782000000.0,10598000000.0,11622000000,65372000000,-3184000000.0,,,,,,4.505768872898703,5.309974470073253,254.97330206133756,4.598567768278036,278.94593018505753,0.2534427144718069,70.38350840336005,1.6797738906182842,0.4039641700019059,154.50387596899225,,
