symbol,date,label,operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,label_name,company,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_profit,eps,gross_margin,net_margin,cost_of_revenue,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dso,dio,dpo,ccc_detailed,working_capital_to_revenue,year_x,year_y
GM,2014-09-30,2,1088000000.0,-3031000000.0,-1943000000.0,1471000000,39255000000,0.0,,-168000000.0,,-1.3208701563562202,-4.949687937842313,,12.357279327474233,-8.299866220683551,0.0,-7.426421272857068,-297.86150712830954,-71.59268929503916,-10.980464274253343,BUY,,41105000000.0,43002000000.0,176908000000.0,18060000000.0,96000000.0,1227000000.0,1965000000.0,86640000000.0,67329000000.0,15210000000.0,,,,,,2.7716214494968794,-72.00877747001635,-4.949687937842313,7.721309387339192,1.1697356244168926,,,,,0.4919373328238441,,
GM,2014-12-31,2,3164000000.0,-3609000000.0,-445000000.0,1987000000,39617000000,0.0,,-3109000000.0,,-0.2239557121288374,-1.1232551682358582,,1.759724360754177,-2.980733246536463,0.0,3.8264327696064546,-77.0972722593927,190.80882352941177,11.252854042463522,BUY,,46665000000.0,35457000000.0,177677000000.0,18954000000.0,48000000.0,1309000000.0,1772000000.0,83670000000.0,65657000000.0,13642000000.0,,,,,,7.986470454602822,5.733242758206436,-1.1232551682358582,9.10972562283868,3.4137888561349623,,,,,0.4546785470883711,,
GM,2015-03-31,2,375000000.0,-3936000000.0,-3561000000.0,945000000,35712000000,-1968000000.0,,-300000000.0,,-3.768253968253968,-9.97143817204301,,4.425543234767019,-8.894128505661488,0.0,-8.848183003807153,700.2247191011236,-88.14791403286979,-12.674615773413606,BUY,,48258000000.0,36329000000.0,179918000000.0,15776000000.0,110000000.0,753000000.0,1547000000.0,83231000000.0,67342000000.0,14051000000.0,,,,,,1.0500672043010753,-80.12099495015454,-9.97143817204301,11.021505376344086,4.661903152220903,,,,,0.4449204749103942,,
GM,2015-06-30,2,5786000000.0,-6057000000.0,-271000000.0,1117000000,38180000000,971000000.0,,-1699000000.0,,-0.2426141450313339,-0.7097957045573599,,5.496987951807256,-3.186529039572114,1.0,9.26164246748565,-92.38977815220444,1442.9333333333334,18.1098254712928,BUY,,53517000000.0,35146000000.0,185812000000.0,17627000000.0,108000000.0,1288000000.0,1825000000.0,84554000000.0,69528000000.0,14218000000.0,,,,,,15.154531168150864,56.88303036188345,-0.7097957045573599,15.864326872708222,8.681295774824292,,,,,0.3935568360398114,,
GM,2015-09-30,2,3308000000.0,-6367000000.0,-3059000000.0,1359000000,38843000000,551000000.0,,-889000000.0,,-2.2509197939661516,-7.875292845557757,,-3.1385320392348603,-2.925604907715444,0.0,-7.165497141000397,1028.7822878228783,-42.82751469063256,-16.427139608486048,BUY,,57403000000.0,34638000000.0,189000000000.0,15433000000.0,112000000.0,997000000.0,3599000000.0,82341000000.0,72739000000.0,14368000000.0,,,,,,8.51633498957341,207.26905332325757,-7.875292845557757,16.39162783513117,8.670318447791978,,,,,0.2472002677445099,,
GM,2015-12-31,1,2509000000.0,-6672000000.0,-4163000000.0,6266000000,39621000000,0.0,,-632000000.0,,-0.6643791892754548,-10.50705433987027,,-18.065293657403885,-9.383799171634411,0.0,-2.6317614943125136,36.09022556390977,-24.15356711003628,4.533735646687884,HOLD,,63111000000.0,39871000000.0,194520000000.0,15238000000.0,74000000.0,1859000000.0,3171000000.0,78007000000.0,71217000000.0,13764000000.0,,,,,,6.3325004416849655,-20.70964917881375,-10.50705433987027,16.839554781555236,7.729829158716557,,,,,0.1713737664369904,,
GM,2016-03-31,1,-108000000.0,-7396000000.0,-7504000000.0,1953000000,37265000000,-2632000000.0,,-300000000.0,,-3.842293906810036,-20.1368576412183,,-19.20743324835638,-10.165419469175289,0.0,-9.629803301348028,80.25462406918086,-104.30450378636908,-6.998041807035515,HOLD,,71149000000.0,40932000000.0,203618000000.0,14894000000.0,127000000.0,1972000000.0,4909000000.0,71034000000.0,74987000000.0,15817000000.0,,,,,,-0.2898161814034616,-127.59977458741444,-20.1368576412183,19.84704145981484,8.825536083470753,,,,,-0.1060780893599892,,
GM,2016-06-30,1,6127000000.0,-6781000000.0,-654000000.0,2866000000,42372000000,-414000000.0,,0.0,,-0.2281926029309141,-1.543472104219768,,-12.680071745492285,-0.833676399662408,1.0,18.593385536998532,-91.28464818763328,-5773.148148148148,28.22318883834656,HOLD,,75320000000.0,43630000000.0,210449000000.0,18923000000.0,147000000.0,3036000000.0,3868000000.0,74630000000.0,76043000000.0,15026000000.0,,,,,,14.460020768431985,-4.58285638805166,-1.543472104219768,16.00349287265175,0.139165999943529,,,,,-0.0333474936278674,,
GM,2016-09-30,1,6570000000.0,-6884000000.0,-314000000.0,2773000000,42825000000,1775000000.0,,-1201000000.0,,-0.1132347637937252,-0.7332165791009924,,153.6792761237595,7.1420762664567645,1.0,0.8102555251187755,-51.98776758409787,7.230292149502193,-17.783130011879756,HOLD,,79100000000.0,44720000000.0,217576000000.0,15932000000.0,145000000.0,3017000000.0,6287000000.0,76496000000.0,82535000000.0,15427000000.0,,,,,,15.3415061295972,80.14211686576303,-0.7332165791009924,16.074722708698193,-0.3169051264329781,,,,,-0.141015761821366,,
GM,2016-12-31,1,4016000000.0,-7209000000.0,-3193000000.0,1835000000,43918000000,1145000000.0,,-999000000.0,,-1.7400544959128066,-7.27036750307391,,154.00177603716017,3.236686836796361,1.0,-6.537150923972917,916.8789808917196,-38.87366818873667,-7.347406449091693,HOLD,,75123000000.0,43836000000.0,221690000000.0,12960000000.0,105000000.0,1520000000.0,4923000000.0,76203000000.0,85181000000.0,13788000000.0,,,,,,9.144314404116765,44.4029019551655,-7.27036750307391,16.414681907190673,-0.4248728743645635,,,,,-0.2044264310760963,,
