symbol,date,label,revenue_growth_yoy,revenue_growth_qoq,revenue_cagr_2yr,revenue_growth_vs_industry,revenue_growth_trend,operating_margin_change_1yr,operating_margin_momentum,roe_change_1yr,roe_trend_2yr,ocf_to_ni_ratio,fcf_to_ni_ratio,quality_of_earnings,reinvestment_rate,growth_capex_pct,revenue_growth_velocity,revenue_velocity_qoq,revenue_growth_acceleration,growth_momentum_positive,growth_deceleration_warning,operating_margin_trend_1yr,operating_margin_velocity_qoq,operating_margin_acceleration,margin_momentum_positive,is_margin_expanding,revenue_growth_trend_4q,is_growth_accelerating,label_name,gross_profit,net_income_growth_yoy,eps_growth_yoy,is_profitability_improving,eps,net_margin,company,eps_to_revenue,cost_efficiency,net_margin_trend_1yr,operating_income,gross_margin,net_income,gross_profit_growth_yoy,gross_margin_change_1yr,cost_of_revenue,revenue,year,total_debt,total_equity,total_assets,cash,interest_expense,ebitda,current_assets,current_liabilities,inventory,operating_cash_flow,free_cash_flow,capital_expenditures,sga_to_revenue,sga_to_revenue_trend,operating_margin,gross_margin_trend_2yr,operating_margin_trend_2yr,net_margin_trend_2yr,revenue_cagr_3yr,eps_cagr_3yr,roe_decomposed,earnings_stability,tax_rate,tax_rate_trend,operating_leverage,year_x,year_y
HEI,2024-01-31,2,44.36162759798039,-4.280434450641623,82.80326220625153,0,0,-0.8436116350467202,-1.6342258352978192,0.0648630012546358,-0.0142583433255073,0.9734433032834052,0.8568152888454899,0.9734433032834052,0.1198097660588256,50,-9.245431017132184,-4.280434450641623,-35.922470388239205,0,0,-0.8436116350467202,-1.6342258352978192,-2.920511282362874,0,0,17.732920753995657,1,BUY,371865000.0,23.29538736065873,22.05882352941175,0.0,0.83,12.79593200522556,HEICO,0.9259641462220104,58.51401720062073,-2.1863119412083325,181588000.0,41.485982799379265,114698000.0,40.838216389514415,-1.0378729618763032,524498000.0,896363000.0,2024.0,2500465000.0,3266438000.0,7336069000.0,196323000.0,38607000.0,224394000.0,1912359000.0,604095000.0,1068735000.0,111652000.0,98275000.0,-13377000.0,,,20.25831052821234,-1.0568902507101612,-0.5285672287863328,-4.9306389869166765,,,3.5114090639405973,0.1097735210081543,,,0.8699037308472637,,
HEI,2024-04-30,2,38.8976522190448,6.585724756599731,77.31476412039055,0,0,-1.6952873348529174,0.9429727106574468,-0.0972113156305209,0.0008515635043809,1.1461192405762266,1.0409757523589884,1.1461192405762266,0.0917386991639507,50,-5.4639753789355865,6.585724756599731,3.781455638196597,1,0,-1.6952873348529174,0.9429727106574468,2.577198545955266,1,0,11.23907679491807,1,BUY,399730000.0,17.148021308980212,15.58441558441559,0.0,0.89,12.889537835136252,HEICO,0.9315518712155706,58.16076073247191,-2.3930638126282737,202556000.0,41.839239267528086,123146000.0,38.11988611233967,-0.2356007027557396,555665000.0,955395000.0,2024.0,2389649000.0,3389427000.0,7365845000.0,204161000.0,38512000.0,252444000.0,1968701000.0,559163000.0,1088101000.0,141140000.0,128192000.0,-12948000.0,,,21.201283238869788,-0.8434725452900906,-1.2553018843547823,-2.8877355417124893,,,3.6332394826618186,0.1220678340406299,,,0.7356103837814192,,
HPQ,2019-04-30,2,,,,0,0,,,,,1.101023017902813,0.955242966751918,1.101023017902813,0.1324041811846689,50,,,,0,0,,,,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,5039000000.0,-1487000000.0,31946000000.0,3556000000.0,61000000.0,1125000000.0,18285000000.0,23203000000.0,5394000000.0,861000000.0,747000000.0,-114000000.0,,,,,,,,,,,,,,,
HPQ,2019-07-31,2,,4.0396124251923515,,0,0,,0.7773224453483181,,-51.65492624853058,1.9872773536895671,1.8413910093299408,1.9872773536895671,0.0734101579172001,50,,4.0396124251923515,,0,0,,0.7773224453483181,,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,5058000000.0,-1131000000.0,32405000000.0,4919000000.0,57000000.0,495000000.0,19683000000.0,24579000000.0,5716000000.0,2343000000.0,2171000000.0,-172000000.0,,,,,,,,,,,,,,,
HPQ,2019-10-31,2,,5.505718003150029,,0,0,,-1.2618076020898874,,10.033027225053562,1.5154639175257731,1.0103092783505154,1.5154639175257731,0.3333333333333333,50,,5.505718003150029,,0,0,,-1.2618076020898874,-2.0391300474382055,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,5137000000.0,-1193000000.0,33467000000.0,4537000000.0,60000000.0,757000000.0,20177000000.0,25293000000.0,5734000000.0,588000000.0,392000000.0,-196000000.0,,,,,,,,,,,,,,,
HPQ,2020-01-31,2,,-5.12104887388849,,0,0,,-0.2097229349465905,,10.500849328219555,1.8952802359882008,1.603244837758112,1.8952802359882008,0.1540856031128404,50,,-5.12104887388849,,0,0,,-0.2097229349465905,1.0520846671432968,1,0,,0,BUY,,,,,,,,,,,,,,,,,,,6030000000.0,-1634000000.0,31656000000.0,4205000000.0,58000000.0,1134000000.0,17477000000.0,23867000000.0,4946000000.0,1285000000.0,1087000000.0,-198000000.0,,,,,,,,,,,,,,,
HPQ,2020-04-30,2,-11.164149330293526,-14.701053495690244,,0,0,0.0128583349516722,0.7070664266398321,-50.237273960687546,-3.7723784144991894,-0.6675392670157068,-0.862565445026178,-0.6675392670157068,-0.292156862745098,50,,-14.701053495690244,,0,0,0.0128583349516722,0.7070664266398321,0.9167893615864228,1,0,,0,BUY,,,,,,,,,,,,,,,,,,,6633000000.0,-743000000.0,33773000000.0,4054000000.0,64000000.0,1088000000.0,19660000000.0,25276000000.0,6354000000.0,-510000000.0,-659000000.0,-149000000.0,,,,,,,,,,,,,,,
HPQ,2020-07-31,2,-2.1160035609121386,14.636298019087343,,0,1,-1.939053599956332,-1.1745894895596862,67.28532085340088,2.0981346561607497,2.2711171662125342,2.111716621253406,2.2711171662125342,0.0701859628074385,50,9.048145769381389,14.636298019087343,,0,0,-1.939053599956332,-1.1745894895596862,-1.8816559161995183,0,0,,0,BUY,,,,,,,,,,,,,,,,,,,7418000000.0,-1986000000.0,34244000000.0,4679000000.0,55000000.0,1003000000.0,20269000000.0,25026000000.0,5896000000.0,1667000000.0,1550000000.0,-117000000.0,,,,,,,,,,,,,,,
HPQ,2020-10-31,2,-0.9670928798597987,6.744088428711348,,0,1,0.3744223147586609,1.0516683126251056,2.54100445296546,4.717446071615172,2.805389221556886,2.6317365269461077,2.805389221556886,0.0618996798292422,50,1.1489106810523395,6.744088428711348,-7.899235088329047,0,1,0.3744223147586609,1.0516683126251056,2.226257802184792,1,0,,0,BUY,,,,,,,,,,,,,,,,,,,7396000000.0,-2228000000.0,34681000000.0,4864000000.0,63000000.0,1035000000.0,20648000000.0,26220000000.0,5963000000.0,1874000000.0,1758000000.0,-116000000.0,,,,,,,,,,,,,,,
HPQ,2021-01-31,2,7.03242577644001,2.5429282999082536,,0,1,2.525690381144024,1.9415451314387724,8.479357698368709,5.16305001568231,0.9569288389513108,0.8342696629213483,0.9569288389513108,0.1281800391389432,50,7.999518656299809,2.5429282999082536,6.85060797524747,1,0,2.525690381144024,1.9415451314387724,0.8898768188136668,1,1,,0,BUY,,,,,,,,,,,,,,,,,,,7376000000.0,-3235000000.0,34737000000.0,4160000000.0,63000000.0,1562000000.0,20438000000.0,27880000000.0,6668000000.0,1022000000.0,891000000.0,-131000000.0,,,,,,,,,,,,,,,
