operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,company,gross_profit,eps,cost_of_revenue,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_margin,net_margin,operating_margin,eps_to_revenue,cost_efficiency,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,year_x,year_y
350000000,-205000000,145000000,233000000,2144000000,-45000000,0,-62000000,2023,0.6223175965665236,6.763059701492537,-62000000,-99.25139925373138,-5.039319072523931,0.0,-16.408206176737863,-72.5897920604915,-48.22485207100592,-25.149647493564757,SIRI,2023-03-31,Sirius XM,1030000000,0.6,1114000000,9871000000,-3259000000,10023000000,53000000,107000000,412000000,561000000,980000000,2796000000,0,48.0410447761194,10.867537313432836,19.21641791044776,0.2798507462686567,51.9589552238806,16.324626865671643,0.5229136010090452,6.763059701492537,9.561567164179104,5.124238710382215,0.0,-0.8470149253731343,2023,2023
676000000,-147000000,529000000,365000000,2283000000,19000000,0,-48000000,2022,1.4493150684931506,23.1712658782304,-48000000,-94.80727113447219,1.996342598966919,1.0,8.741441316826892,60.790273556231014,64.07766990291262,13.574821371490849,SIRI,2022-12-31,Sirius XM,1145000000,0.94,1138000000,9822000000,-3351000000,10022000000,57000000,108000000,562000000,702000000,1038000000,2981000000,0,50.1533070521244,15.987735435830047,24.616732369689007,0.41173893999123956,49.8466929478756,29.610162067455104,7.720541747791199,23.1712658782304,6.438896189224705,0.12587558422689682,0.0,-0.8510731493648708,2022,2022
412000000,-83000000,329000000,247000000,2280000000,-198000000,0,-184000000,2022,1.3319838056680162,14.429824561403509,-184000000,-94.45175438596493,-2.085189087368102,0.0,-4.833380054663957,-24.193548387096776,-22.70168855534709,-12.294205896714955,SIRI,2022-09-30,Sirius XM,1153000000,0.6,1127000000,10159000000,-3616000000,10059000000,39000000,107000000,467000000,614000000,1032000000,2751000000,0,50.570175438596486,10.833333333333334,20.482456140350877,0.2631578947368421,49.42982456140351,18.070175438596493,-10.342560690665714,14.429824561403509,3.640350877192983,0.0006784477116363874,0.0,-0.7539473684210526,2022,2022
533000000,-99000000,434000000,292000000,2253000000,-5000000,0,-209000000,2022,1.4863013698630136,19.263204616067465,-209000000,-90.56147359076786,-6.211552215799141,1.0,7.460825842050998,68.2170542635659,50.140845070422536,16.83337034729801,SIRI,2022-06-30,Sirius XM,1116000000,0.74,1137000000,10248000000,-3579000000,10270000000,126000000,104000000,496000000,636000000,1133000000,2884000000,0,49.533954727030626,12.960497114957834,22.01509098979139,0.32845095428317794,50.466045272969374,23.657345761207278,-19.691494499297935,19.263204616067465,4.394141145139813,0.41081553142976235,0.0,-0.7771859742565468,2022,2022
355000000,-97000000,258000000,309000000,2186000000,-195000000,0,-206000000,2022,0.8349514563106796,11.802378774016468,-206000000,-88.32799634034765,1.4039336816938253,0.0,-9.372544505247014,-46.58385093167702,-43.38118022328549,-14.032454135738885,SIRI,2022-03-31,Sirius XM,1107000000,0.78,1079000000,10228000000,-3587000000,10163000000,76000000,103000000,510000000,659000000,1056000000,2821000000,0,50.64043915827996,14.135407136322051,23.33028362305581,0.35681610247026535,49.35956084172003,16.23970722781336,14.45656669465718,11.802378774016468,4.437328453796889,0.6472409902400376,0.0,-0.8074107959743825,2022,2022
627000000,-144000000,483000000,319000000,2281000000,59000000,0,-349000000,2021,1.5141065830721003,21.17492327926348,-349000000,-92.33011836913634,0.7089570846540703,1.0,4.659909630491871,33.057851239669425,41.534988713318285,13.619652813586868,SIRI,2021-12-31,Sirius XM,1153000000,0.8,1128000000,9243000000,-2625000000,10274000000,191000000,102000000,475000000,615000000,1180000000,2980000000,0,50.5480052608505,13.985094256904867,20.82419991231916,0.35072336694432266,49.4519947391495,27.48794388426129,5.935051342690079,21.17492327926348,6.313020604997808,0.8310653742988592,0.0,-0.789127575624726,2021,2021
443000000,-80000000,363000000,343000000,2198000000,-41000000,0,-318000000,2021,1.0583090379008746,16.51501364877161,-318000000,-90.66878980891721,,0.0,-8.959743183094997,-34.0,-30.345911949685533,-24.03605492263896,SIRI,2021-09-30,Sirius XM,1130000000,0.8,1068000000,9245000000,-2555000000,10094000000,164000000,111000000,628000000,698000000,1036000000,2832000000,4000000,51.41037306642402,15.605095541401273,28.57142857142857,0.3639672429481347,48.58962693357598,20.154686078252958,,16.51501364877161,3.6396724294813465,,1.3670411985018727,-0.8171064604185623,2021,2021
636000000,-86000000,550000000,433000000,2159000000,-120000000,0,-334000000,2021,1.2702078521939955,25.474756831866607,-334000000,-79.96526169522929,,,15.076311739543964,157.00934579439254,117.80821917808217,25.143832841830733,SIRI,2021-06-30,Sirius XM,1088000000,1.1,1071000000,10272000000,-2515000000,11201000000,1124000000,103000000,658000000,807000000,2129000000,3937000000,5000000,50.39370078740157,20.055581287633164,30.47707271885132,0.5094951366373321,49.60629921259843,29.458082445576654,,25.474756831866607,3.983325613710051,,1.704014939309057,-0.8374247336729967,2021,2021
292000000,-78000000,214000000,219000000,2058000000,-309000000,0,-522000000,2021,0.9771689497716894,10.398445092322643,-522000000,-77.68221574344025,,,-10.067521102286769,-52.23214285714286,-48.59154929577465,,SIRI,2021-03-31,Sirius XM,1033000000,0.5,1025000000,9333000000,-2603000000,9988000000,59000000,100000000,254000000,404000000,905000000,2850000000,8000000,50.194363459669574,10.641399416909621,12.342079689018465,0.24295432458697766,49.80563654033042,14.188532555879494,,10.398445092322643,3.7900874635568513,,2.848780487804878,-0.9450923226433431,2021,2021
568000000,-120000000,448000000,-677000000,2189000000,-14000000,0,-685000000,2020,-0.6617429837518464,20.46596619460941,-685000000,-90.20785746916398,,,,,,,SIRI,2020-12-31,Sirius XM,1116000000,-1.6,1073000000,8967000000,-2285000000,10333000000,71000000,97000000,-503000000,-368000000,967000000,3167000000,10000000,50.98218364550022,-30.927364093193237,-22.978529008679764,-0.7309273640931933,49.01781635449977,25.947921425308362,,20.46596619460941,5.481955230698949,,3.4016775396085737,-1.0050251256281406,2020,2020
